accelerometer_x,accelerometer_y,accelerometer_z,temp,gyro_x,gyro_y,gyro_z,distance,pitch,roll
-256,-512,15360,25.57,-255,13,153,17,-0.9543113262037629,-1.9088875243093488
-256,-512,15104,25.42,-255,30,122,4,-0.9704646197982785,-1.9412077952514735
-512,-1536,15360,25.47,-1280,-271,2976,16,-1.8996846321372571,-5.707444161054387
-512,-1280,15360,25.47,1281,287,142,19,-1.9025626139550498,-4.761009585148423
0,-1280,17408,25.52,1281,-8300,710,1183,0.0,-4.205357001708587
11520,-768,11520,25.42,257,-8621,295,44,44.93647912809167,-2.698950908923438
10496,-768,9728,25.52,-1279,14609,1152,46,47.08599052155169,-3.071867456220387
2560,-1024,14336,25.42,-1024,4486,230,1183,10.099472139874452,-4.022204286634102
768,-768,17408,25.52,513,4247,457,20,2.523665294755138,-2.523665294755138
-7936,-512,13056,25.42,256,7208,574,16,-31.273502815773277,-1.9193014163102935
-11776,-768,9472,25.47,512,-2395,544,19,-51.09690598875638,-2.909169722644219
-5888,-256,15104,25.57,-256,-7357,-90,16,-21.294569603308453,-0.9047203291113828
-2560,-768,16640,25.47,-2559,1211,43,17,-8.737005263161203,-2.611859780311979
-256,-4096,13056,25.52,-6144,584,261,18,-1.0718076430747847,-17.414825836924596
-256,-10240,12544,25.57,-1536,1073,1191,19,-0.9057371441799044,-39.21983038918881
-2304,-9984,13824,25.47,6656,574,500,21,-7.694817733381664,-35.46590487938306
-512,-3584,15360,25.42,7168,1409,395,78,-1.859246836472446,-13.12698423080244
0,4352,13568,25.47,7168,-1032,222,19,0.0,17.783888442692525
-768,7424,16640,25.57,-255,729,-44,19,-2.4135389409711623,24.021548750202435
512,3584,25856,25.42,-9471,-177,506,18,1.1236806971727369,7.8901751254200905
-512,-1280,15616,25.42,256,3188,18,19,-1.8716051533793798,-4.683394442175811
-2048,-1024,17664,25.42,1,822,725,1183,-6.602473639773399,-3.2957526059126905
3584,-1024,13056,25.38,512,-10527,210,47,15.305347316605808,-4.325241101405672
10240,-512,15104,25.38,-2048,13653,-986,44,34.1206603426695,-1.6071784624229355
-2048,-1280,15360,25.38,512,-1673,2,1183,-7.568714276557946,-4.722044345508071
