accelerometer_x,accelerometer_y,accelerometer_z,temp,gyro_x,gyro_y,gyro_z,distance,pitch,roll
-256,-512,15360,24.86,-255,19,107,57,-0.9543113262037629,-1.9088875243093488
0,-512,15360,24.81,-255,3,120,57,0.0,-1.9091524329963763
-256,-512,15360,24.77,-255,-9,160,56,-0.9543113262037629,-1.9088875243093488
-256,-512,15360,24.86,-255,2,134,57,-0.9543113262037629,-1.9088875243093488
-256,-512,15360,24.81,-255,19,143,60,-0.9543113262037629,-1.9088875243093488
-256,-768,15360,24.77,-255,5,120,60,-0.9536501557107911,-2.862008413521762
-256,-512,15360,24.86,-255,-12,139,1183,-0.9543113262037629,-1.9088875243093488
-256,-512,15360,24.72,-255,-1,144,1183,-0.9543113262037629,-1.9088875243093488
-256,-512,15360,24.81,-255,13,140,60,-0.9543113262037629,-1.9088875243093488
0,-768,15360,24.77,-255,-8,124,60,0.0,-2.8624052261117474
-256,-512,15616,24.72,-255,-11,119,62,-0.938686636971047,-1.8776253436792487
-256,-512,15360,24.81,-255,10,152,60,-0.9543113262037629,-1.9088875243093488
0,-512,15360,24.81,-255,-1,148,64,0.0,-1.9091524329963763
-256,-512,15360,24.77,-255,2,126,1183,-0.9543113262037629,-1.9088875243093488
-256,-512,15360,24.77,-255,8,134,1183,-0.9543113262037629,-1.9088875243093488
-256,-512,15360,24.81,-255,-12,122,58,-0.9543113262037629,-1.9088875243093488
-256,-512,15360,24.77,-255,10,149,55,-0.9543113262037629,-1.9088875243093488
-256,-512,15360,24.86,-255,-4,142,1183,-0.9543113262037629,-1.9088875243093488
0,-512,15360,24.86,-255,7,133,1183,0.0,-1.9091524329963763
-256,-512,15104,24.77,-255,-1,142,100,-0.9704646197982785,-1.9412077952514735
-256,-512,15360,24.77,-255,8,141,103,-0.9543113262037629,-1.9088875243093488
-256,-512,15360,24.77,-255,17,127,102,-0.9543113262037629,-1.9088875243093488
-256,-768,15360,24.77,-255,3,134,100,-0.9536501557107911,-2.862008413521762
-256,-512,15360,24.72,-255,11,150,101,-0.9543113262037629,-1.9088875243093488
-256,-512,15360,24.86,-255,-6,145,101,-0.9543113262037629,-1.9088875243093488
